north_latitude,south_latitude,west_longitud,east_longitude,center_lat,center_long
40.882214,40.820555,-73.946065,-73.98513,40.851384499999995,-73.9655975
40.882214,40.820555,-73.907,-73.946065,40.851384499999995,-73.92653250000001
40.820555,40.758896,-73.946065,-73.98513,40.7897255,-73.9655975
40.820555,40.758896,-73.907,-73.946065,40.7897255,-73.92653250000001
40.882214,40.820555,-74.01620750000001,-74.047285,40.851384499999995,-74.03174625
40.882214,40.820555,-73.98513,-74.01620750000001,40.851384499999995,-74.00066875
40.820555,40.758896,-74.01620750000001,-74.047285,40.7897255,-74.03174625
40.820555,40.758896,-73.98513,-74.01620750000001,40.7897255,-74.00066875
40.758896,40.719646,-73.946065,-73.98513,40.739271,-73.9655975
40.758896,40.719646,-73.907,-73.946065,40.739271,-73.92653250000001
40.719646,40.680396,-73.946065,-73.98513,40.700021,-73.9655975
40.719646,40.680396,-73.907,-73.946065,40.700021,-73.92653250000001
40.758896,40.719646,-74.01620750000001,-74.047285,40.739271,-74.03174625
40.758896,40.719646,-73.98513,-74.01620750000001,40.739271,-74.00066875
40.719646,40.680396,-74.01620750000001,-74.047285,40.700021,-74.03174625
40.719646,40.680396,-73.98513,-74.01620750000001,40.700021,-74.00066875
