north_latitude,south_latitude,west_longitud,east_longitude
40.8293975395,40.8195160714,-73.9390483506,-73.9283650367
40.8293975395,40.8195160714,-73.9497316644,-73.9390483506
40.8293975395,40.8195160714,-73.9604149783,-73.9497316644
40.8293975395,40.8195160714,-73.9710982922,-73.9604149783
40.8293975395,40.8195160714,-73.9817816061,-73.9710982922
40.8293975395,40.8195160714,-73.99246492,-73.9817816061
40.8293975395,40.8195160714,-74.0031482339,-73.99246492
40.8293975395,40.8195160714,-74.0138315478,-74.0031482339
40.8293975395,40.8195160714,-74.0245148616,-74.0138315478
40.8293975395,40.8195160714,-74.0351981755,-74.0245148616
40.8293975395,40.8195160714,-74.0458814894,-74.0351981755
40.8293975395,40.8195160714,-74.0565648033,-74.0458814894
40.8392790076,40.8293975395,-73.9283682197,-73.9176833139
40.8392790076,40.8293975395,-73.9390531254,-73.9283682197
40.8392790076,40.8293975395,-73.9497380312,-73.9390531254
40.8392790076,40.8293975395,-73.960422937,-73.9497380312
40.8392790076,40.8293975395,-73.9711078427,-73.960422937
40.8392790076,40.8293975395,-73.9817927485,-73.9711078427
40.8392790076,40.8293975395,-73.9924776543,-73.9817927485
40.8392790076,40.8293975395,-74.00316256,-73.9924776543
40.8392790076,40.8293975395,-74.0138474658,-74.00316256
40.8392790076,40.8293975395,-74.0245323716,-74.0138474658
40.8392790076,40.8293975395,-74.0352172774,-74.0245323716
40.8392790076,40.8293975395,-74.0459021831,-74.0352172774
40.8392790076,40.8293975395,-74.0565870889,-74.0459021831
40.8491604758,40.8392790076,-73.9283714042,-73.9176849058
40.8491604758,40.8392790076,-73.9390579027,-73.9283714042
40.8491604758,40.8392790076,-73.9497444011,-73.9390579027
40.8491604758,40.8392790076,-73.9604308996,-73.9497444011
40.8491604758,40.8392790076,-73.971117398,-73.9604308996
40.8491604758,40.8392790076,-73.9818038965,-73.971117398
40.8491604758,40.8392790076,-73.9924903949,-73.9818038965
40.8491604758,40.8392790076,-74.0031768934,-73.9924903949
40.8491604758,40.8392790076,-74.0138633918,-74.0031768934
40.8491604758,40.8392790076,-74.0245498903,-74.0138633918
40.8491604758,40.8392790076,-74.0352363887,-74.0245498903
40.8491604758,40.8392790076,-74.0459228871,-74.0352363887
40.8491604758,40.8392790076,-74.0566093856,-74.0459228871
40.8590419439,40.8491604758,-73.9283745904,-73.9176864984
40.8590419439,40.8491604758,-73.9390626823,-73.9283745904
40.8590419439,40.8491604758,-73.9497507742,-73.9390626823
40.8590419439,40.8491604758,-73.9604388661,-73.9497507742
40.8590419439,40.8491604758,-73.971126958,-73.9604388661
40.8590419439,40.8491604758,-73.98181505,-73.971126958
40.8590419439,40.8491604758,-73.9925031419,-73.98181505
40.8590419439,40.8491604758,-74.0031912338,-73.9925031419
40.8590419439,40.8491604758,-74.0138793257,-74.0031912338
40.8590419439,40.8491604758,-74.0245674176,-74.0138793257
40.8590419439,40.8491604758,-74.0352555096,-74.0245674176
40.8590419439,40.8491604758,-74.0459436015,-74.0352555096
40.8590419439,40.8491604758,-74.0566316934,-74.0459436015
40.868923412,40.8590419439,-73.9283777781,-73.9176880919
40.868923412,40.8590419439,-73.9390674643,-73.9283777781
40.868923412,40.8590419439,-73.9497571505,-73.9390674643
40.868923412,40.8590419439,-73.9604468366,-73.9497571505
40.868923412,40.8590419439,-73.9711365228,-73.9604468366
40.868923412,40.8590419439,-73.981826209,-73.9711365228
40.868923412,40.8590419439,-73.9925158952,-73.981826209
40.868923412,40.8590419439,-74.0032055814,-73.9925158952
40.868923412,40.8590419439,-74.0138952676,-74.0032055814
40.868923412,40.8590419439,-74.0245849537,-74.0138952676
40.868923412,40.8590419439,-74.0352746399,-74.0245849537
40.868923412,40.8590419439,-74.0459643261,-74.0352746399
40.868923412,40.8590419439,-74.0566540123,-74.0459643261
40.8788048801,40.868923412,-73.9283809674,-73.9176896862
40.8788048801,40.868923412,-73.9390722487,-73.9283809674
40.8788048801,40.868923412,-73.9497635299,-73.9390722487
40.8788048801,40.868923412,-73.9604548111,-73.9497635299
40.8788048801,40.868923412,-73.9711460924,-73.9604548111
40.8788048801,40.868923412,-73.9818373736,-73.9711460924
40.8788048801,40.868923412,-73.9925286549,-73.9818373736
40.8788048801,40.868923412,-74.0032199361,-73.9925286549
40.8788048801,40.868923412,-74.0139112173,-74.0032199361
40.8788048801,40.868923412,-74.0246024986,-74.0139112173
40.8788048801,40.868923412,-74.0352937798,-74.0246024986
40.8788048801,40.868923412,-74.0459850611,-74.0352937798
40.8788048801,40.868923412,-74.0566763423,-74.0459850611
40.8886863483,40.8788048801,-73.9283841583,-73.9176912812
40.8886863483,40.8788048801,-73.9390770354,-73.9283841583
40.8886863483,40.8788048801,-73.9497699125,-73.9390770354
40.8886863483,40.8788048801,-73.9604627896,-73.9497699125
40.8886863483,40.8788048801,-73.9711556667,-73.9604627896
40.8886863483,40.8788048801,-73.9818485438,-73.9711556667
40.8886863483,40.8788048801,-73.9925414209,-73.9818485438
40.8886863483,40.8788048801,-74.003234298,-73.9925414209
40.8886863483,40.8788048801,-74.0139271751,-74.003234298
40.8886863483,40.8788048801,-74.0246200521,-74.0139271751
40.8886863483,40.8788048801,-74.0353129292,-74.0246200521
40.8886863483,40.8788048801,-74.0460058063,-74.0353129292
40.8886863483,40.8788048801,-74.0566986834,-74.0460058063
